id,title,description,type,release_year,genres,production_countries,Netflix Link,TMDb Trailer,runtime,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,type_netflix
ts56481,Great News,A New Jersey mom puts her relationship with her daughter to the test when she lands an internship at the same TV station where her daughter works.,SHOW,2017,comedy,US,https://www.netflix.com/watch/80158516,https://www.youtube.com/watch?v=eIhUsfhXBJM,21,7.0,6810.0,8.665,6.5,1
ts55231,Abstract: The Art of Design,Step inside the minds of the most innovative designers in a variety of disciplines and learn how design impacts every aspect of life.,SHOW,2017,documentation,US,https://www.netflix.com/watch/80057883,https://www.youtube.com/watch?v=DYaq2sWTWAA,45,8.4,5306.0,12.42,8.0,1
ts57814,Kakegurui,"Hyakkaou Private Academy. An institution for the privileged with a very peculiar curriculum. You see, when you're the sons and daughters of the wealthiest of the wealthy, it's not athletic prowess or book smarts that keep you ahead. It's reading your opponent, the art of the deal. What better way to hone those skills than with a rigorous curriculum of gambling? At Hyakkaou Private Academy, the winners live like kings, and the losers are put through the wringer. But when Yumeko Jabami enrolls, she's gonna teach these kids what a high roller really looks like!",SHOW,2017,"action, animation, drama, thriller",JP,https://www.netflix.com/watch/80233218,https://www.youtube.com/watch?v=cTlHQiRNVl0,24,7.2,8547.0,54.832,8.3,1
ts57814,Kakegurui,"Hyakkaou Private Academy. An institution for the privileged with a very peculiar curriculum. You see, when you're the sons and daughters of the wealthiest of the wealthy, it's not athletic prowess or book smarts that keep you ahead. It's reading your opponent, the art of the deal. What better way to hone those skills than with a rigorous curriculum of gambling? At Hyakkaou Private Academy, the winners live like kings, and the losers are put through the wringer. But when Yumeko Jabami enrolls, she's gonna teach these kids what a high roller really looks like!",SHOW,2017,"action, animation, drama, thriller",JP,https://www.netflix.com/watch/80175351,https://www.youtube.com/watch?v=cTlHQiRNVl0,24,7.2,8547.0,54.832,8.3,1
ts113109,Numberblocks,"Learning numbers and how to count with colourful personified blocks, each with their own quirks.",SHOW,2017,animation,GB,https://www.netflix.com/watch/81272431,https://www.youtube.com/watch?v=ALjPHmn81aE,5,8.6,198.0,10.667,9.5,1
ts85138,Dogs,"These six intimate stories explore the abiding emotional bonds that form between dogs and their caregivers, no matter the circumstances.",SHOW,2018,documentation,US,https://www.netflix.com/watch/80191036,https://www.youtube.com/watch?v=5pLCmLgjiJ8,50,8.0,1269.0,3.54,8.3,1
ts57424,The Forest,"In a small quiet village in the Ardennes, a sixteen-year-old girl disappears into the forest after calling her teacher in the middle of the night. Captain Gaspard Deker, a former soldier and newly arrived single father is conducting the investigation with Virginie Musso, the local cop. Also helping is the teacher, Eve Mendel, a solitary young woman with a mysterious past: she was found as a child by the villiage doctor wandering silently in the same forest.",SHOW,2017,"crime, thriller, drama, european",FR,https://www.netflix.com/watch/80240691,https://www.youtube.com/watch?v=6hW8hUcXR-A,52,7.2,10137.0,18.051,7.1,1
ts57424,The Forest,"In a small quiet village in the Ardennes, a sixteen-year-old girl disappears into the forest after calling her teacher in the middle of the night. Captain Gaspard Deker, a former soldier and newly arrived single father is conducting the investigation with Virginie Musso, the local cop. Also helping is the teacher, Eve Mendel, a solitary young woman with a mysterious past: she was found as a child by the villiage doctor wandering silently in the same forest.",SHOW,2017,"crime, thriller, drama, european",FR,https://www.netflix.com/watch/80049282,https://www.youtube.com/watch?v=lBgKi0XVn4A,52,7.2,10137.0,18.051,7.1,1
tm217228,Death Note,"A young man comes to possess a supernatural notebook, the Death Note, that grants him the power to kill any person simply by writing down their name on the pages. He then decides to use the notebook to kill criminals and change the world, but an enigmatic detective attempts to track him down and end his reign of terror.",MOVIE,2017,"fantasy, horror, thriller, action, crime, drama",US,https://www.netflix.com/watch/70068528,https://www.youtube.com/watch?v=gvxNaSIB_WI,101,4.5,83519.0,22.306,4.2,0
tm217228,Death Note,"A young man comes to possess a supernatural notebook, the Death Note, that grants him the power to kill any person simply by writing down their name on the pages. He then decides to use the notebook to kill criminals and change the world, but an enigmatic detective attempts to track him down and end his reign of terror.",MOVIE,2017,"fantasy, horror, thriller, action, crime, drama",US,https://www.netflix.com/watch/80122759,https://www.youtube.com/watch?v=gvxNaSIB_WI,101,4.5,83519.0,22.306,4.2,0
tm217228,Death Note,"A young man comes to possess a supernatural notebook, the Death Note, that grants him the power to kill any person simply by writing down their name on the pages. He then decides to use the notebook to kill criminals and change the world, but an enigmatic detective attempts to track him down and end his reign of terror.",MOVIE,2017,"fantasy, horror, thriller, action, crime, drama",US,https://www.netflix.com/watch/70204970,https://www.youtube.com/watch?v=WsiWrr8uZGo,101,4.5,83519.0,22.306,4.2,0
